id,journee,date_formatee,equipe,role,adversaire,score_equipe,score_adversaire,classement_avant_match,bonus,resultat,essais_accordes,possession_balle,occupation,possession_prop_camp,possession_camp_adv,possession_22m_adv,melees_obtenues,melees_perdues,melees_gagnees,melees_refaites,touches_obtenues,touches_propre_lancer,touches_lancer_adv,en_avant_commis,penalites_reussies,penalites_concedees,plaquages_reussis,plaquages_offensifs,plaquages_manques,ballons_pied,ballons_passes,carton_jaune,carton_orange,carton_rouge
df7947fb,j3,03/09/2016,RC Toulon,Domicile,CA Brive,21,25,4e,Bd,Défaite,0,50 %,57 %,60 %,43 %,57 %,8,2,4,2,12,8,0,16,7,16,109,31,12,14,116,2,0,0
df7947fb,j3,03/09/2016,CA Brive,Extérieur,RC Toulon,25,21,8e,,Victoire,0,50 %,43 %,40 %,57 %,43 %,15,4,8,3,15,9,1,10,6,18,83,13,16,19,95,2,0,0
27c5b43f,j3,04/09/2016,Union Bordeaux-Bègles,Domicile,Montpellier Hérault Rugby,15,32,11e,,Défaite,0,50 %,58 %,46 %,42 %,57 %,7,2,4,1,12,9,1,12,4,9,109,3,20,16,158,0,0,0
27c5b43f,j3,04/09/2016,Montpellier Hérault Rugby,Extérieur,Union Bordeaux-Bègles,32,15,3e,,Victoire,2,50 %,42 %,54 %,58 %,43 %,10,1,6,3,11,7,1,6,6,14,143,15,15,21,95,1,0,0
9735fbf1,j3,04/09/2016,Racing 92,Domicile,Stade Toulousain,28,14,6e,,Victoire,2,50 %,46 %,50 %,53 %,47 %,12,4,5,3,9,5,0,8,3,16,131,0,18,14,154,0,0,0
9735fbf1,j3,04/09/2016,Stade Toulousain,Extérieur,Racing 92,14,28,12e,,Défaite,1,50 %,54 %,50 %,47 %,53 %,9,3,6,0,12,8,1,11,3,9,132,5,15,15,107,0,0,0
9d9ec106,j4,10/09/2016,Stade Français Paris,Domicile,Castres Olympique,29,25,7e,,Victoire,2,50 %,50 %,61 %,51 %,50 %,8,2,6,0,7,5,0,3,5,10,126,5,22,24,115,1,0,1
9d9ec106,j4,10/09/2016,Castres Olympique,Extérieur,Stade Français Paris,25,29,5e,Bd,Défaite,1,50 %,50 %,39 %,49 %,50 %,7,2,3,2,7,5,2,11,6,12,158,7,10,18,120,1,0,0
78ff6dd3,j4,10/09/2016,Montpellier Hérault Rugby,Domicile,Section Paloise,41,13,3e,Bo,Victoire,3,50 %,45 %,48 %,56 %,46 %,14,0,12,2,10,9,4,6,2,10,139,9,16,16,74,1,0,0
78ff6dd3,j4,10/09/2016,Section Paloise,Extérieur,Montpellier Hérault Rugby,13,41,9e,,Défaite,2,50 %,55 %,52 %,44 %,54 %,11,4,4,3,17,9,0,10,1,15,83,3,9,7,122,2,0,0
80d1da11,j4,10/09/2016,Union Bordeaux-Bègles,Domicile,Aviron Bayonnais,40,20,11e,,Victoire,4,50 %,51 %,32 %,48 %,51 %,5,0,4,1,12,10,1,11,4,12,85,0,5,12,120,0,0,0
80d1da11,j4,10/09/2016,Aviron Bayonnais,Extérieur,Union Bordeaux-Bègles,20,40,14e,,Défaite,2,50 %,49 %,68 %,52 %,49 %,14,3,9,2,12,10,0,7,2,12,121,2,19,11,102,1,0,0
2e606e65,j4,10/09/2016,Stade Rochelais,Domicile,LOU Rugby,43,18,1e,Bo,Victoire,4,50 %,53 %,55 %,49 %,50 %,10,2,7,1,7,5,2,10,5,12,83,5,9,13,152,2,0,0
2e606e65,j4,10/09/2016,LOU Rugby,Extérieur,Stade Rochelais,18,43,10e,,Défaite,0,50 %,47 %,45 %,51 %,50 %,6,4,2,0,13,11,1,9,6,13,184,8,29,9,90,2,0,0
f3150537,j4,10/09/2016,ASM Clermont,Domicile,Racing 92,47,10,2e,Bo,Victoire,5,50 %,52 %,62 %,46 %,52 %,11,1,8,2,12,9,2,8,2,8,147,3,23,20,156,0,0,0
f3150537,j4,10/09/2016,Racing 92,Extérieur,ASM Clermont,10,47,6e,,Défaite,1,50 %,48 %,38 %,54 %,48 %,4,1,3,0,10,4,0,11,1,13,134,1,27,9,122,2,0,0
52139cb4,j4,11/09/2016,FC Grenoble Rugby,Domicile,CA Brive,36,23,13e,,Victoire,3,50 %,59 %,64 %,41 %,59 %,6,3,2,1,19,12,3,11,5,10,61,2,17,22,124,1,0,2
52139cb4,j4,11/09/2016,CA Brive,Extérieur,FC Grenoble Rugby,23,36,8e,,Défaite,2,50 %,41 %,36 %,59 %,41 %,11,5,4,2,10,6,1,5,3,17,111,1,17,14,53,2,0,1
be794c0a,j4,11/09/2016,Stade Toulousain,Domicile,RC Toulon,15,32,12e,,Défaite,0,50 %,52 %,39 %,49 %,52 %,8,1,5,2,11,10,2,10,5,10,87,1,6,13,200,0,0,0
be794c0a,j4,11/09/2016,RC Toulon,Extérieur,Stade Toulousain,32,15,4e,Bo,Victoire,3,50 %,48 %,61 %,51 %,48 %,5,0,5,0,14,10,0,4,4,16,200,24,12,19,84,0,0,0
d419b1c7,j5,17/09/2016,LOU Rugby,Domicile,Stade Toulousain,25,20,10e,,Victoire,1,50 %,44 %,38 %,54 %,46 %,5,1,2,2,13,13,3,4,6,15,142,3,20,14,102,1,0,0
d419b1c7,j5,17/09/2016,Stade Toulousain,Extérieur,LOU Rugby,20,25,12e,Bd,Défaite,2,50 %,56 %,62 %,46 %,54 %,6,0,4,2,16,10,0,8,2,15,135,3,10,15,172,3,0,0
1a8d9482,j5,17/09/2016,Aviron Bayonnais,Domicile,Montpellier Hérault Rugby,9,21,14e,,Défaite,0,50 %,54 %,58 %,46 %,54 %,5,1,3,1,16,11,2,9,3,16,55,2,10,8,180,1,0,0
1a8d9482,j5,17/09/2016,Montpellier Hérault Rugby,Extérieur,Aviron Bayonnais,21,9,3e,,Victoire,0,50 %,46 %,42 %,54 %,46 %,11,3,7,1,15,11,0,3,7,14,179,16,13,17,46,1,0,0
0f157ad4,j5,17/09/2016,CA Brive,Domicile,Stade Rochelais,29,28,8e,,Victoire,2,50 %,59 %,80 %,42 %,59 %,12,0,9,3,14,12,0,6,5,7,73,4,16,18,122,0,0,0
0f157ad4,j5,17/09/2016,Stade Rochelais,Extérieur,CA Brive,28,29,1e,Bd,Défaite,3,50 %,41 %,20 %,58 %,41 %,8,4,1,3,14,12,0,4,3,14,172,1,16,23,70,2,0,0
b936ed56,j5,17/09/2016,Section Paloise,Domicile,Stade Français Paris,23,6,9e,,Victoire,2,50 %,48 %,57 %,50 %,49 %,6,2,3,1,14,9,2,7,3,11,195,3,10,22,131,0,0,0
b936ed56,j5,17/09/2016,Stade Français Paris,Extérieur,Section Paloise,6,23,7e,,Défaite,0,50 %,52 %,43 %,50 %,51 %,11,2,6,3,13,10,1,7,2,15,131,6,12,17,180,2,0,0
3aa48e89,j5,17/09/2016,ASM Clermont,Domicile,Union Bordeaux-Bègles,40,16,2e,Bo,Victoire,5,50 %,59 %,68 %,39 %,59 %,4,1,3,0,14,9,0,10,3,9,113,0,16,24,132,0,0,0
