journee,date,domicile,classement_dom,bonus_dom,score_dom,exterieur,classement_ext,bonus_ext,score_ext,score,lien_feuille_match
j20,samedi 10 mars,CA Brive,14e,Bd,9,ASM Clermont,9e,,11,9 - 11,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8243-brive-clermont
j20,dimanche 11 mars,Stade Français Paris,12e,,23,Castres Olympique,6e,,17,23 - 17,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8244-paris-castres
j20,dimanche 11 mars,Stade Toulousain,3e,,20,LOU Rugby,5e,,27,20 - 27,https://top14.lnr.fr/feuille-de-match/2017-2018/j20/8245-toulouse-lyon
j21,samedi 17 mars,Racing 92,2e,,28,Stade Français Paris,12e,,22,28 - 22,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8246-racing-92-paris
j21,samedi 17 mars,Oyonnax Rugby,13e,,29,RC Toulon,4e,Bd,26,29 - 26,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8247-oyonnax-toulon
j21,samedi 17 mars,Stade Rochelais,7e,,19,LOU Rugby,5e,Bd,15,19 - 15,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8248-la-rochelle-lyon
j21,samedi 17 mars,SU Agen,11e,Bd,10,Union Bordeaux-Bègles,10e,,15,10 - 15,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8249-agen-bordeaux-begles
j21,samedi 17 mars,ASM Clermont,9e,Bo,38,Section Paloise,8e,,14,38 - 14,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8250-clermont-pau
j21,dimanche 18 mars,Castres Olympique,6e,,37,CA Brive,14e,,28,37 - 28,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8251-castres-brive
j21,dimanche 18 mars,Stade Toulousain,3e,,22,Montpellier Hérault Rugby,1e,,14,22 - 14,https://top14.lnr.fr/feuille-de-match/2017-2018/j21/8252-toulouse-montpellier
j22,samedi 24 mars,Stade Rochelais,7e,Bo,31,Union Bordeaux-Bègles,10e,,20,31 - 20,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8253-la-rochelle-bordeaux-begles
j22,samedi 24 mars,Stade Français Paris,12e,Bd,33,Stade Toulousain,3e,,37,33 - 37,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8254-paris-toulouse
j22,samedi 24 mars,CA Brive,14e,,15,SU Agen,11e,Bd,12,15 - 12,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8255-brive-agen
j22,samedi 24 mars,Section Paloise,8e,Bo,33,Oyonnax Rugby,13e,,12,33 - 12,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8256-pau-oyonnax
j22,samedi 24 mars,Montpellier Hérault Rugby,1e,Bo,45,Castres Olympique,6e,,7,45 - 7,https://top14.lnr.fr/feuille-de-match/2017-2018/j22/8257-montpellier-castres
